symbol,entry_date,exit_date,entry_price,exit_price,type,pnl,reason,equity_after
MGNT,2023-06-27 14:00:00,2023-06-28 08:00:00,4857.558207104307,4808.0,SHORT,0.010202287855619942,SMART_CUT,813.7339448263115
T,2023-06-28 07:00:00,2023-06-28 16:00:00,3317.8218790334963,3289.979888078045,SHORT,0.008391647282632883,TRAIL,814.1549026351356
TRYRUB_TOM,2023-06-28 07:00:00,2023-06-28 15:00:00,3.290383217993812,3.3641035596664235,SHORT,-0.022404788983077642,SL,814.1549026351356
CNYRUB_TOM,2023-06-28 08:00:00,2023-06-28 14:00:00,11.786273204348715,11.833,LONG,0.003964509802304971,TRAIL,814.1086720006322
CHMF,2023-06-28 11:00:00,2023-07-03 08:00:00,1172.7318861006027,1193.4,LONG,0.01762390376211228,SL,813.5698289567488
NVTK,2023-06-28 13:00:00,2023-06-29 13:00:00,1325.562017440922,1322.2,SHORT,0.0025362958478643075,SL,814.0521425109214
ALRS,2023-06-28 13:00:00,2023-06-29 08:00:00,67.21553811981111,67.93,LONG,0.010629415462171415,TRAIL,813.414220798963
GLDRUB_TOM,2023-06-29 07:00:00,2023-06-29 15:00:00,5268.481096109549,5312.060149392358,SHORT,-0.008271654104441816,SL,814.2147617703865
TATN,2023-06-29 09:00:00,2023-06-29 20:00:00,502.8876065390172,508.17976168820195,LONG,0.01052353464346936,TRAIL,814.2147617703865
LKOH,2023-06-30 07:00:00,2023-06-30 09:00:00,5129.144757498159,5104.0,SHORT,0.004902329469528215,SL,814.677297128803
GAZP,2023-06-30 08:00:00,2023-07-01 07:00:00,166.53869163466572,167.62,LONG,0.006492835717157762,SMART_CUT,815.2382912772578
PLZL,2023-06-30 10:00:00,2023-06-30 18:00:00,1073.5503258840527,1084.0,LONG,0.009733753382583341,TRAIL,814.6283339386797
GMKN,2023-06-30 14:00:00,2023-07-01 09:00:00,146.87337678454034,145.4164807210816,LONG,-0.009919401973006814,SL,814.4303940523789
CNYRUB_TOM,2023-06-30 14:00:00,2023-07-03 14:00:00,12.2856519101018,12.222,SHORT,0.0051809957312450704,SMART_CUT,814.1918231728305
ROSN,2023-06-30 15:00:00,2023-07-01 08:00:00,481.5193614437229,486.15,LONG,0.009616723494551036,TRAIL,813.6837062799902
NVTK,2023-06-30 19:00:00,2023-07-01 07:00:00,1331.9580534072884,1341.3438261238014,SHORT,-0.007046597820782106,SL,815.2382912772578
LKOH,2023-06-30 20:00:00,2023-07-01 07:00:00,5099.470019067705,5056.918847983514,LONG,-0.008344233993941663,SL,815.2382912772578
PLZL,2023-07-01 07:00:00,2023-07-01 09:00:00,1076.0,1085.4,LONG,0.008736059479553988,SL,814.4303940523789
MGNT,2023-07-01 08:00:00,2023-07-01 11:00:00,5192.0,5157.5,SHORT,0.006644838212634823,SL,814.6109775018846
NVTK,2023-07-01 09:00:00,2023-07-01 13:00:00,1340.0,1352.3626036154071,SHORT,-0.009225823593587406,SL,814.7665826864837
GMKN,2023-07-01 11:00:00,2023-07-04 07:00:00,145.8232136780643,146.95683336299837,LONG,0.007773931573314392,TRAIL,813.2220220361212
SNGSP,2023-07-02 14:00:00,2023-07-03 16:00:00,41.70545155297229,40.535732117406866,LONG,-0.028047159112513237,SL,814.1885684327202
T,2023-07-03 09:00:00,2023-07-04 07:00:00,3241.14468064965,3209.940488521243,LONG,-0.009627522126581722,SL,813.2220220361212
SNGS,2023-07-03 15:00:00,2023-07-04 07:00:00,28.05428623971082,27.537718524902733,LONG,-0.018413147652171794,SL,813.2220220361212
HKDRUB_TOM,2023-07-03 15:00:00,2023-07-05 13:00:00,11.182816604885662,11.350923451846928,LONG,0.01503260340403161,TRAIL,810.7333048986528
GAZP,2023-07-04 08:00:00,2023-07-04 20:00:00,166.13054564021235,165.29878406552135,LONG,-0.0050066745491364395,SL,810.8871573470708
MOEX,2023-07-04 09:00:00,2023-07-05 11:00:00,120.93264296984793,121.83961032753051,LONG,0.00749977289348343,SL,810.1184050606323
TATN,2023-07-04 09:00:00,2023-07-04 16:00:00,493.57724523085943,498.17240955276026,LONG,0.009309919300983054,SL,810.1289423911893
TRYRUB_TOM,2023-07-04 10:00:00,2023-07-05 13:00:00,3.443,3.4964025063049036,LONG,0.015510457828900235,SL,810.7333048986528
ROSN,2023-07-04 10:00:00,2023-07-06 09:00:00,475.1189160755268,478.9800324955784,LONG,0.008126631648229021,TRAIL,809.9460355932073
LKOH,2023-07-04 11:00:00,2023-07-04 12:00:00,5137.73325477357,5175.293856409615,SHORT,-0.007310734087089273,SL,810.858789324516
KZTRUB_TOM,2023-07-04 11:00:00,2023-07-04 14:00:00,20.175742588493833,20.1525,LONG,-0.0011520065936551035,TRAIL,810.2437479784146
SNGS,2023-07-04 14:00:00,2023-07-06 08:00:00,28.009184632069566,28.37,LONG,0.012882037541261153,TRAIL,810.8771459819259
GMKN,2023-07-05 07:00:00,2023-07-06 07:00:00,148.33411945525907,149.91709306267094,SHORT,-0.010671675628137148,SL,812.0538401760285
SBER,2023-07-05 07:00:00,2023-07-06 12:00:00,241.37120542206796,241.27,LONG,-0.0004192936845593424,SMART_CUT,810.2019099070917
LKOH,2023-07-05 12:00:00,2023-07-06 07:00:00,5278.846777939231,5351.95424266207,SHORT,-0.013849135577937474,SL,812.0538401760285
KZTRUB_TOM,2023-07-05 13:00:00,2023-07-06 05:00:00,20.45759438003387,20.879300415094235,LONG,0.020613666847942736,TRAIL,813.0874130383265
GAZP,2023-07-05 16:00:00,2023-07-06 08:00:00,165.1,166.39,LONG,0.007813446396123514,TRAIL,810.8771459819259
HKDRUB_TOM,2023-07-06 05:00:00,2023-07-06 06:00:00,11.516340068136907,11.639790996591042,SHORT,-0.010719632081349838,SL,813.6903168222977
NVTK,2023-07-06 07:00:00,2023-07-06 08:00:00,1325.8141749337674,1351.2,SHORT,-0.01914734775520169,SL,810.8771459819259
LKOH,2023-07-06 10:00:00,2023-07-06 13:00:00,5374.899336520141,5330.5,SHORT,0.008260496381479526,TRAIL,810.0449690127305
GAZP,2023-07-06 11:00:00,2023-07-07 08:00:00,166.99173485030252,166.15,SHORT,0.005040577912775606,TRAIL,808.3244985619173
SNGS,2023-07-06 12:00:00,2023-07-11 10:00:00,28.186782479510214,28.185,LONG,-6.32381333879018e-05,TIME,810.6172958016141
MGNT,2023-07-06 14:00:00,2023-07-07 14:00:00,5288.449948219494,5334.5,LONG,0.008707665238660305,TRAIL,808.4863860820069
CHMF,2023-07-06 17:00:00,2023-07-07 07:00:00,1205.179578199733,1191.3810914448595,LONG,-0.011449320088451299,SL,810.2406693776086
TATN,2023-07-06 19:00:00,2023-07-07 07:00:00,499.8917711166835,496.38961711798464,LONG,-0.007005824462514324,SL,810.2406693776086
TATN,2023-07-07 09:00:00,2023-07-07 19:00:00,498.2626190730192,500.2,LONG,0.0038882726755322993,SL,809.0691644656097
SNGSP,2023-07-07 09:00:00,2023-07-07 14:00:00,41.37178749311102,41.71,LONG,0.00817495514172058,SL,808.4863860820069
CHMF,2023-07-07 10:00:00,2023-07-08 09:00:00,1198.6754637580748,1212.6,LONG,0.011616602377318265,SL,808.1709098011911
NVTK,2023-07-07 15:00:00,2023-07-08 07:00:00,1389.0286506835835,1406.329291437156,SHORT,-0.012455207993771963,SL,809.332498231616
SNGSP,2023-07-07 17:00:00,2023-07-08 12:00:00,41.5215742506269,41.72,LONG,0.004778859013759694,SL,809.8441749380875
T,2023-07-07 19:00:00,2023-07-10 07:00:00,3229.5261171706775,3261.921041658642,SHORT,-0.010030860043437296,SL,810.1165919768912
GMKN,2023-07-07 20:00:00,2023-07-10 20:00:00,150.77462615784026,152.52638642040486,LONG,0.011618402294897754,SL,809.7460129842636
SBER,2023-07-08 07:00:00,2023-07-08 09:00:00,242.48317356925784,244.96882830740464,LONG,0.010250833909664421,TRAIL,808.1709098011911
TATN,2023-07-10 06:00:00,2023-07-10 08:00:00,476.7,485.85475717311226,LONG,0.019204441311332646,TRAIL,809.0175594025438
NVTK,2023-07-10 09:00:00,2023-07-11 17:00:00,1404.2843945455045,1415.0624598631978,LONG,0.007675130023204169,SL,809.4759342189295
